,tweet,locacion
102,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#Colombia
103,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",#Colombia
104,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a Gustavo A. Madero
105,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Iztapalapa
106,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",PirÃ¡mide
107,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a Gustavo A. Madero
108,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Tlalnepantla
109,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",¡mideDeTenayuca
110,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",AlcaldÃ­a Benito JuÃ¡rez
111,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",Madrid
112,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Juan
113,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",ElÃ­as PiÃ±a
114,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San JosÃ© de Ocoa
115,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Juan
116,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",ElÃ­as PiÃ±a
117,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San JosÃ© de Ocoa
118,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Juan
119,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",ElÃ­as PiÃ±a
120,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San JosÃ© de Ocoa
121,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San Juan
122,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",ElÃ­as PiÃ±a
123,"Ley seca CDMX en Iztapalapa, Cuajimalpa y Magdalena Contreras - Uno TV",San JosÃ© de Ocoa
