,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
4218,Vive Siete Mx,@ViveSiete,2021-06-10T16:00:01.000Z,"Vive Siete Mx
@ViveSiete
¶ú
10 jun. 2021","#ViveSiete #LigaTDP
@LigaTDP
 Cuartos de final vuelta
@FcChilangos
 vs Tuxpan F.C.

 Deportivo Benito JuÇ­rez
 SÇ­bado 12 de junio 12 pm.

En vivo a travÇ¸s de:  https://facebook.com/ViveSie7e/

Patrocinadores oficiales: 
#EOSsport #DesartDiseÇño #Tresdedos

#TuEmociÇünNuestraPasiÇün.",Ğ?? Ğ??? Ğ??ñ Ğ??ï Ğ??æ,1,2,6,['https://pbs.twimg.com/media/E3ZS7xpVkAMdVi1?format=jpg&name=small'],https://twitter.com/ViveSiete/status/1403019129498505218
4219,@sapase_ecatepec,@sapase_ecatepec,2021-06-10T01:27:22.000Z,"@sapase_ecatepec
@sapase_ecatepec
¶ú
9 jun. 2021","#TrabajoConcluido | Mantenemos a diario el compromiso de no dejar obras inconclusas, concluimos la rehabilitaciÇün de red general en calle: canal del risco, colonia Benito JuÇ­rez Xalostoc. #Misioncumplida. #lologramos #MunicipioConValores #drenaje #prevencion",,2,1,11,"['https://pbs.twimg.com/media/E3e-r-qVgAEa5MY?format=jpg&name=small', 'https://pbs.twimg.com/media/E3e-r-0VkAcW17H?format=jpg&name=small']",https://twitter.com/sapase_ecatepec/status/1402799518630912005
4220,Debate,@ELDEBATE,2021-06-10T03:58:22.000Z,"Debate
@ELDEBATE
¶ú
9 jun. 2021",Rogelio RamÇğrez de la O serÇ­ propuesto como nuevo secretario de Hacienda y en redes aseguran que luce idÇ¸ntico a Benito JuÇ­rez .,Ğ?Ï?,,,1,[],https://twitter.com/ELDEBATE/status/1402837516491755523
4221,Marcela,@marcelamerino,2021-06-10T17:57:06.000Z,"Marcela
@marcelamerino
¶ú
10 jun. 2021","En respuesta a 
@STaboadaMx",,3,,9,[],https://twitter.com/marcelamerino/status/1403048591292239877
4222,PromocionesDelPueblo,@PromoDelPueblo,2021-06-10T21:57:31.000Z,"PromocionesDelPueblo
@PromoDelPueblo
¶ú
10 jun. 2021","¶¨QuiÇ¸n serÇ­ el vencedor del choque de invictos en duelo por el tÇğtulo Internacional WBC en Los Mochis? 

 12/jun
 Auditorio Benito JuÇ­rez 
@ESPNKnockOut
 @ESPNmx
@WBCBoxing
 @wbcboxeo
@wbcmoro
@IMDAAhome
 @DifusionAhome
@sinaloa_sectur
 @sinaloagobmx
@bxstrs
@oskuchle",Ğ??? Ğ??,,1,4,[],https://twitter.com/PromoDelPueblo/status/1403109094265925635
4223,Ricardo Morales SÇ­nc,@riva_leo,2021-06-10T01:33:06.000Z,"Ricardo Morales SÇ­nc
@riva_leo
¶ú
9 jun. 2021","#Delojode 
@EsImagen
 Por el golpeteo del agua colapsa un domicilio en la colonia San Miguel apetlachica en la esquina de Benito JuÇ­rez con Revolucion. 
@Efekto10",,,3,6,['https://pbs.twimg.com/ext_tw_video_thumb/1402800912138063876/pu/img/uxo0Xu8ZY0pAvH0S.jpg'],https://twitter.com/riva_leo/status/1402800961639362560
4224,Enrique Torre Molina.,@ETorreMolina,2021-06-10T14:02:51.000Z,"Enrique Torre Molina.
@ETorreMolina
¶ú
10 jun. 2021","""La 
@FGEQuintanaRoo
 anunciÇü la detenciÇün del presunto responsable de la tortura y asesinato de un joven de la comunidad LGBT+ en el municipio de Benito JuÇ­rez. El presunto homicida era arrendatario de la vÇğctima"". 

https://tinyurl.com/yz52px28 por 
@PajaroPolitico
 

#CancÇ§n",ƒ?ÿ Ğ???,,1,5,[],https://twitter.com/ETorreMolina/status/1402989640248750086
4225,Pasotti,@pasotti_,2021-06-10T20:09:51.000Z,"Pasotti
@pasotti_
¶ú
10 jun. 2021","En respuesta a 
@AAtaydeR
 y 
@PAN_CDMX",,1,1,5,[],https://twitter.com/pasotti_/status/1403081999666057218
4226,Animal PolÇğtico,@Pajaropolitico,2021-06-10T01:00:06.000Z,"Animal PolÇğtico
@Pajaropolitico
¶ú
9 jun. 2021","La 
@FGEQuintanaRoo
 informÇü la detenciÇün de Isidoro G, presunto responsable de la tortura y asesinato de un joven de la comunidad LGBT+ en el municipio de Benito JuÇ­rez.",,1,8,19,['https://pbs.twimg.com/card_img/1648800831355977730/YaayQgDj?format=jpg&name=small'],https://twitter.com/Pajaropolitico/status/1402792657127084033
4227,La Silla Rota,@lasillarota,2021-06-10T03:28:15.000Z,"La Silla Rota
@lasillarota
¶ú
9 jun. 2021","#MetrÇüpoli | AsÇğ es como operaba este sujeto que se hacÇğa pasar por taxista para asaltar a mujeres en calles de la alcaldÇğa Benito JuÇ­rez, este miÇ¸rcoles fue detenido por elementos de la policÇğa de la demarcaciÇün. #ep   https://lasillarota.com/metropoli/se-hacia-pasar-como-taxista-para-asaltar-mujeres-en-benito-juarez/527874ƒ?İ",,,7,13,['https://pbs.twimg.com/ext_tw_video_thumb/1402829843671121920/pu/img/26L9QMWvm77tVZle.jpg'],https://twitter.com/lasillarota/status/1402829939448193025
4228,Meganoticias Xalapa,@MeganoticiasXAL,2021-06-10T22:53:34.000Z,"Meganoticias Xalapa
@MeganoticiasXAL
¶ú
10 jun. 2021","#EnVivo Vecinos de la Col. Benito JuÇ­rez en #Xalapa piden ponerle tapa a un registro

Manda tus denuncias ciudadanas al #Megacel  2281845778 #MNXAL 

TransmisiÇün FB https://fb.watch/62k6x52u2G/",Ğ??ı,,2,1,['https://pbs.twimg.com/ext_tw_video_thumb/1403123106672168960/pu/img/epSjbi3RiyhDexXN.jpg'],https://twitter.com/MeganoticiasXAL/status/1403123201178279938
4229,SET Noticias,@SET_Noticias,2021-06-10T01:36:51.000Z,"SET Noticias
@SET_Noticias
¶ú
9 jun. 2021"," Colapsa vivienda  en Sanctorum tras la lluvia de este miÇ¸rcoles.

El inmueble se encuentra en la esquina de la Calle Benito JuÇ­rez y RevoluciÇün.

VÇğa 
@Andy_Casco
 

 #SETNoticias",ƒ?ÿ ƒ?? Ğ?? Ğ??ø,1,2,3,['https://pbs.twimg.com/ext_tw_video_thumb/1402801633680138241/pu/img/iRPs6_84NeCRgXF9.jpg'],https://twitter.com/SET_Noticias/status/1402801906628632579
4230,La Silla Rota,@lasillarota,2021-06-10T03:40:00.000Z,"La Silla Rota
@lasillarota
¶ú
9 jun. 2021","#MetrÇüpoli | Este miÇ¸rcoles fue detenido un sujeto que se hacÇğa pasar por taxista para asaltar a mujeres en la alcaldÇğa Benito JuÇ­rez, su situaciÇün jurÇğdica serÇ­ definida en las prÇüximas horas. #ep",,,10,9,[],https://twitter.com/lasillarota/status/1402832895484461059
4231,W Radio MÇ¸xico,@WRADIOMexico,2021-06-10T14:02:11.000Z,"W Radio MÇ¸xico
@WRADIOMexico
¶ú
10 jun. 2021",Estos son los billetes de 500 pesos con Benito JuÇ­rez que se venden en casi 20 mil pesos en sitios de internet,,,1,4,[],https://twitter.com/WRADIOMexico/status/1402989473651064840
4232,Ayto Benito JuÇ­rez,@AytoCancun,2021-06-10T23:43:48.000Z,"Ayto Benito JuÇ­rez
@AytoCancun
¶ú
10 jun. 2021","Benito JuÇ­rez permanece en semÇ­foro naranjadel 7 al 13 de junio del 2021.
Recordemos tomar nuestras medidas sanitarias, nuestra sana distancia y seguir cuidÇ­ndonos. ",Ğ??ÿ Ğ??ú,,1,5,['https://pbs.twimg.com/media/E3jwnHMXEAEowRS?format=jpg&name=small'],https://twitter.com/AytoCancun/status/1403135841753616390
4233,El Heraldo de MÇ¸xico,@heraldodemexico,2021-06-10T03:30:00.000Z,"El Heraldo de MÇ¸xico
@heraldodemexico
¶ú
9 jun. 2021","Ç?l es Santiago Taboada, virtual ganador en la alcaldÇğa Benito JuÇ­rez",,,1,7,[],https://twitter.com/heraldodemexico/status/1402830380831363079
4234,Juan Manuel JimÇ¸nez,@juanmapregunta,2021-06-10T03:54:00.000Z,"Juan Manuel JimÇ¸nez
@juanmapregunta
¶ú
9 jun. 2021","#Entrevista Vamos a redoblar el esfuerzo en seguridad, el programa ""Blindar Benito JuÇ­rez"" funciona, pero lo vamos a expandir, tambiÇ¸n vamos a mejorar los servicios pÇ§blicos: 
@STaboadaMx
.  

https://mvsnoticias.com/podcasts/juan-manuel-jimenez/vamos-a-redoblar-la-seguridad-en-benito-juarez-santiago-taboada/ƒ?İ",,,1,9,[],https://twitter.com/juanmapregunta/status/1402836418305478658
4235,Naika Œù?,@nayeli786,2021-06-11T23:31:04.000Z,"Naika Œù?
@nayeli786
¶ú
11 jun. 2021",Se vendiÇü el aviÇün presidencial ƒ??Benito JuÇ­rezƒ? que utilizaba Felipe CalderÇün alias Borolas  SaliÇü en subasta por 65 millones de pesos.,Ğ?¾ï,42,198,565,['https://pbs.twimg.com/media/E3o3R04XwAM9PYH?format=jpg&name=small'],https://twitter.com/nayeli786/status/1403495023853850629
4236,GurÇ§ PolÇğtico,@guruchuirer,2021-06-11T22:44:23.000Z,"GurÇ§ PolÇğtico
@guruchuirer
¶ú
11 jun. 2021",¶­VolÇü! AviÇün presidencial ƒ??Benito JuÇ­rezƒ? por fin es vendido en 65 MDP ,Ğ??¸,48,628,1.434,['https://pbs.twimg.com/card_img/1648581098299957248/-rnNu-jp?format=jpg&name=small'],https://twitter.com/guruchuirer/status/1403483275839082497
4237,Cam MartÇğnez,@CamMttz,2021-06-11T04:06:24.000Z,"Cam MartÇğnez
@CamMttz
¶ú
10 jun. 2021",Hoy firmamos nuestras constancias como parte de la planilla del concejo que harÇ­ contrapeso en la AlcaldÇğa. AhÇğ estaremos junto con Paty Alfaro en pie de lucha denunciando el mal gobierno y representando a toda vecina y vecino que crea en la posibilidad de una mejor Benito JuÇ­rez,,47,101,704,"['https://pbs.twimg.com/media/E3kstmlWQAI3Jtc?format=jpg&name=small', 'https://pbs.twimg.com/media/E3kstmoXMAIxjdt?format=jpg&name=small']",https://twitter.com/CamMttz/status/1403201927647727617
4238,Riky Moreno,@rikymoreno,2021-06-11T21:46:20.000Z,"Riky Moreno
@rikymoreno
¶ú
11 jun. 2021","Ojo: es el anterior, el Benito JuÇ­rez.",Ğ??ù,20,64,862,"['https://pbs.twimg.com/profile_images/1572395241994428417/Zv6aLr0W_normal.jpg', 'https://pbs.twimg.com/media/E3oe7RhWEAQ5127?format=jpg&name=small']",https://twitter.com/rikymoreno/status/1403468668516843527
